EDITION;ID;PERSON;TITLE;INTERNATIONAL TITLES;DIRECTOR/S;MAIN PRODUCTION COUNTRY;CO-PRODUCTION COUNTRY/IES;SECTION;PRIZE;NOTE
2020;1170178;;LIAR LAND;;Ananth Subramaniam;Malaysia;;Open Doors Screenings - Short films;Special mention;
2020;1172928;;SELL OUT!;;Yeo Joon Han;Malaysia;;Open Doors Screenings - Long films;“Environment is quality of life” Prize a for Best full-length feature ;
2020;1170315;;ENGKWENTRO;Clash;Pepe Diokno;Philippines;;Open Doors Screenings - Long films;Special mention;
2019;1119330;;VITALINA VARELA;;Pedro Costa;Portugal;;Concorso internazionale;Pardo d’oro;
2019;1115106;;PA-GO;Height of the Wave;PARK Jung-bum;South Korea;;Concorso internazionale;Special Jury Prize of the Cities of Ascona and Losone;
2019;1113715;;LES ENFANTS D’ISADORA;Isadora’s Children;Damien Manivel;France;South Korea;Concorso internazionale;Pardo for Best Direction of the City and Region of Locarno;
2019;1119330;Vitalina Varela;VITALINA VARELA;;Pedro Costa;Portugal;;Concorso internazionale;Pardo for Best Actress;
2019;1113586;Regis Myrupu;A FEBRE ;The Fever;Maya Da-Rin;Brazil;France, Germany;Concorso internazionale;Pardo for Best Actor;
2019;1117986;;HIRUK-PIKUK SI AL-KISAH;The Science of Fictions;Yosep Anggi Noen;Indonesia;Malaysia, France;Concorso internazionale;Special mention;
2019;1117915;;MATERNAL;;Maura Delpero;Italy;Argentina;Concorso internazionale;Special mention;
2019;1116130;;BAAMUM NAFI;Nafi’s Father;Mamadou Dia;Senegal;;Concorso Cineasti del presente;Pardo d’oro Concorso Cineasti del presente;
2019;1083607;;143 RUE DU DÉSERT;143 sahara street;Hassen Ferhani;Algeria;France, Qatar;Concorso Cineasti del presente;Best Emerging Director Award of the City and Region of Locarno;
2019;1113793;;IVANA CEA GROAZNICA;Ivana the Terrible;Ivana Mladenović;Romania;Serbia;Concorso Cineasti del presente;Special Jury Prize Ciné+;
2019;1114121;;HERE FOR LIFE;;Andrea Luka Zimmerman, Adrian Jackson;United Kingdom;;Concorso Cineasti del presente;Special mention;
2019;1111808;;THE GIVERNY DOCUMENT (SINGLE CHANNEL);;Ja’Tovia M. Gary;USA;France;Moving Ahead;Moving Ahead Award;
2019;1112769;;THOSE THAT, AT A DISTANCE, RESEMBLE ANOTHER;;Jessica Sarah Rinland;United Kingdom;Argentina, Spain;Moving Ahead;Special mention;
2019;1113252;;SHĀN ZHĪ BĚI;Osmosis;ZHOU Tao;China;;Moving Ahead;Special mention;
2019;1116130;;BAAMUM NAFI;Nafi’s Father;Mamadou Dia;Senegal;;Concorso Cineasti del presente;Swatch First Feature Award;
2019;1117138;;LA PALOMA Y EL LOBO;The Dove and the Wolf;Carlos Lenin;Mexico;;Concorso Cineasti del presente;Swatch Art Peace Hotel Award;
2019;1113731;;INSTINCT ;;Halina Reijn;Netherlands;;Piazza Grande;Special mention ;First Feature
2019;1108583;;FI AL-THAWRA ;During Revolution;Maya Khoury;Syria;Sweden;Concorso internazionale;Special mention ;First Feature
2019;1112379;;SIYAH GÜNEŞ ;Black Sun;Arda Çiltepe;Türkiye;Germany;"Pardi di domani
Concorso internazionale";Pardino d’oro SRG SSR for the Best International Short Film ;
2019;1112526;;UMBILICAL;;Danski Tang;USA;;"Pardi di domani
Concorso internazionale";Pardino d’argento SRG SSR for the International Competition;
2019;1111455;;OTPUSK;Leave of Absence;Anton Sazonov;Russia;;"Pardi di domani
Concorso internazionale";Pardi di domani Best Direction Prize – PIANIFICA;
2019;1111691;;WHITE AFRO;;Akosua Adoma Owusu;Ghana;USA;"Pardi di domani
Concorso internazionale";Premio Medien Patent Verwaltung AG Prize;
2019;1112379;;SIYAH GÜNEŞ ;Black Sun;Arda Çiltepe;Türkiye;Germany;"Pardi di domani
Concorso internazionale";Locarno Short Film Candidate for the European Film Awards;
2019;1112800;;MAMA ROSA;;Dejan Barac;Switzerland;;"Pardi di domani
Concorso nazionale";Pardino d’oro Swiss Life for the Best Swiss Short Film;
2019;1113114;;TEMPÊTE SILENCIEUSE;Silent Storm;Anaïs Moog;Switzerland;;"Pardi di domani
Concorso nazionale";Pardino d’argento Swiss Life for the National Competition;
2019;1113067;;TERMINAL;;Kim Allamand;Switzerland;;"Pardi di domani
Concorso nazionale";Best Swiss Newcomer Prize;
2019;1113731;;INSTINCT ;;Halina Reijn;Netherlands;;Piazza Grande;Variety Piazza Grande Award;
2019;1116344;;CAMILLE;;Boris Lojkine;France;;Piazza Grande;Prix du public UBS;
2018;1037057;;A LAND IMAGINED;;YEO Siew Hua;Singapore;"France, Netherlands
";Concorso internazionale;Pardo d’oro;
2018;1038353;;M;;Yolande Zauberman;France;;Concorso internazionale;Special Jury Prize of the Cities of Ascona and Losone;
2018;1033430;;TARDE PARA MORIR JOVEN;Too Late to Die Young;Dominga Sotomayor;Chile;Brazil, Argentina,  Netherlands, Qatar;Concorso internazionale;Pardo for Best Direction of the City and Region of Locarno;
2018;1042275;Andra Guți;ALICE T.;;Radu Muntean;Romania;France, Sweden;Concorso internazionale;Pardo for Best Actress;
2018;1035673;KI Joobong;GANGBYUN HOTEL;Hotel by the River;HONG Sangsoo;South Korea;;Concorso internazionale;Pardo for Best Actor;
2018;1032124;;RAY & LIZ;;Richard Billingham;United Kingdom;;Concorso internazionale;Special mention;
2018;1040292;;CHAOS ;;Sara Fattahi;Austria;Syria, Lebanon, Qatar;Concorso Cineasti del presente;Pardo d’oro Concorso Cineasti del presente;
2018;1042949;;DEAD HORSE NEBULA;;Tarık Aktaş;Türkiye;;Concorso Cineasti del presente;Best Emerging Director Award of the City and Region of Locarno;
2018;1018236;;CLOSING TIME;;Nicole Vögele;Switzerland;Germany;Concorso Cineasti del presente;Special Jury Prize Ciné+;
2018;1036957;;FAUSTO ;;Andrea Bussmann;Mexico;Canada;Concorso Cineasti del presente;Special mention;
2018;1035626;Rose;L’ÉPOQUE;Young and Alive;Matthieu Bareyre;France;;Concorso Cineasti del presente;Special mention;
2018;1031664;;HAI SHANG CHENG SHI;The Fragile House;LIN Zi;China;;Signs of Life;Signs of Life Award ELECTRONIC-ART.FOUNDATION;
2018;1040006;;LE DISCOURS D’ACCEPTATION GLORIEUX DE NICOLAS CHAUVIN;The Glorious Acceptance of Nicolas Chauvin;Benjamin Crotty;France;;Signs of Life;Fundación Casa Wabi – Mantarraya Award;
2018;1029338;;ALLES IST GUT;All Good;Eva Trobisch;Germany;;Concorso Cineasti del presente;Swatch First Feature Award;
2018;1039662;;RŪGŠTUS MIŠKAS;Acid Forest;Rugilė Barzdžiukaitė;Lithuania;;Fuori concorso;Swatch Art Peace Hotel Award;
2018;1003936;;TIRSS, RIHLAT ALSOO'OUD ILA ALMAR'I;Erased, Ascent of the Invisible;Ghassan Halwani;Lebanon;;Signs of Life;Special mention ;First Feature
2018;1015921;;D’UN CHÂTEAU L’AUTRE;Castle to Castle;Emmanuel Marre;Belgium;France;"Pardi di domani
Concorso internazionale";Pardino d’oro SRG SSR for the Best International Short Film ;
2018;1034517;;HEART OF HUNGER;;Bernardo Zanotta;Netherlands;;"Pardi di domani
Concorso internazionale";Pardino d’argento SRG SSR for the International Competition;
2018;1030017;;EL LABERINTO;The Labyrinth;Laura Huertas Millán;France;Columbia, USA;"Pardi di domani
Concorso internazionale";Pardi di domani Best Direction Prize – PIANIFICA;
2018;1034997;;JE SORS ACHETER DES CIGARETTES;I’m Going Out for Cigarettes;Osman Cerfon;France;;"Pardi di domani
Concorso internazionale";Medien Patent Verwaltung AG Award;
2018;1035986;;LA MÁXIMA LONGITUD DE UN PUENTE ;Big bridge;Simón Vélez;Argentina;;"Pardi di domani
Concorso internazionale";Special mention;
2018;1035393;;LOS QUE DESEAN;Those who Desire;Elena López Riera;Switzerland;Spain;"Pardi di domani
Concorso internazionale";Locarno Short Film Candidate for the European Film Awards;
2018;1035393;;LOS QUE DESEAN;Those who Desire;Elena López Riera;Switzerland;Spain;"Pardi di domani
Concorso nazionale";Pardino d’oro Swiss Life for the Best Swiss Short Film ;
2018;1039983;;ABIGAÏL;;Magdalena Froger;Switzerland;;"Pardi di domani
Concorso nazionale";Pardino d’argento Swiss Life for the National Competition;
2018;1040746;;ICI LE CHEMIN DES ÂNES;Stone Age;Lou Rambert Preiss;Switzerland;;"Pardi di domani
Concorso nazionale";Best Swiss Newcomer Award;
2018;1030269;;LE VENT TOURNE;With the Wind;Bettina Oberli;Switzerland;France;Piazza Grande;Variety Piazza Grande Award;
2018;1042100;;BLACKKKLANSMAN;;Spike Lee;USA;;Piazza Grande;Prix du public UBS;
2017;948137;;MRS. FANG;;WANG Bing;France;China, Germany;Concorso internazionale;Pardo d’oro;
2017;963699;;AS BOAS MANEIRAS;Good Manners;Juliana Rojas, Marco Dutra;Brazil;France;Concorso internazionale;Special Jury Prize of the Cities of Ascona and Losone;
2017;949683;;9 DOIGTS;9 Fingers;F. J. Ossang;France;Portugal;Concorso internazionale;Pardo for Best Direction of the City and Region of Locarno;
2017;962410;Isabelle Huppert;MADAME HYDE;;Serge Bozon;France;Belgium;Concorso internazionale;Pardo for Best Actress;
;955550;Elliott Crosset Hove;VINTERBRØDRE;Winter Brothers;Hlynur Pálmason; Denmark;Iceland;Concorso internazionale;Pardo for Best Actor;
2017;963738;;3/4;Three Quarters;Ilian Metev;Bulgaria;Germany;Concorso Cineasti del presente;Pardo d’oro Concorso Cineasti del presente;
